Round,Date,HomeTeam,AwayTeam,FTHG,FTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
ROUND 20,03.02.2024,FC Koln,Eintracht Frankfurt,2,0,1.61,0.97,44,56,14,11,10,7,14,8,7,7,2,1,22,19,4,2,8,13,0,2,1,4,330,508,60,109,33,36,0,0
ROUND 20,03.02.2024,Bayern Munich,B. Monchengladbach,3,1,2.07,0.72,55,45,21,11,15,7,9,12,6,5,1,0,17,18,3,3,11,9,0,0,0,1,604,481,130,79,49,27,0,0
ROUND 20,03.02.2024,Bochum,Augsburg,1,1,0.99,1.69,50,50,9,12,5,6,16,20,3,5,3,3,26,29,5,3,17,14,0,0,3,1,338,336,128,122,41,75,0,0
ROUND 20,03.02.2024,Darmstadt,Bayer Leverkusen,0,2,0.33,1.88,36,64,8,18,2,11,10,16,4,3,2,2,12,16,5,6,14,8,0,0,2,2,351,764,92,143,28,50,0,0
ROUND 20,03.02.2024,Freiburg,Stuttgart,1,3,0.57,1.84,38,62,7,17,3,8,7,11,1,6,1,0,0,0,6,3,10,7,1,0,4,2,369,719,121,113,34,38,0,0
ROUND 20,03.02.2024,Mainz,Werder Bremen,0,1,1.24,0.72,54,46,20,6,15,5,17,24,11,1,2,1,23,12,0,5,22,16,0,0,4,3,436,296,150,73,63,29,0,0
ROUND 20,02.02.2024,Heidenheim,Dortmund,0,0,1.10,0.91,35,65,11,13,11,8,9,8,4,6,2,3,14,19,5,0,7,7,0,0,0,2,285,694,90,160,39,68,0,0
ROUND 19,28.01.2024,Dortmund,Bochum,3,1,2.50,0.50,63,37,15,10,9,6,21,11,8,4,1,5,19,25,3,3,10,16,0,0,1,3,521,285,104,109,77,38,0,0
ROUND 19,28.01.2024,Union Berlin,Darmstadt,1,0,3.33,1.42,51,49,19,15,13,14,8,17,4,3,3,0,19,27,1,5,13,9,0,0,3,2,446,451,113,116,59,29,0,0
ROUND 19,27.01.2024,Bayer Leverkusen,B. Monchengladbach,0,0,2.87,0.21,67,33,28,4,20,1,9,17,8,2,1,2,15,10,3,8,15,6,0,0,3,1,945,321,192,39,145,16,0,0
ROUND 19,27.01.2024,Augsburg,Bayern Munich,2,3,2.41,2.79,43,57,14,13,7,9,10,16,4,5,4,2,21,13,1,5,12,11,0,0,2,6,372,549,85,93,63,39,0,0
ROUND 19,27.01.2024,Hoffenheim,Heidenheim,1,1,2.80,1.15,61,39,20,15,12,12,14,13,9,5,2,1,21,18,2,7,11,13,0,0,4,0,618,273,160,106,77,32,0,0
ROUND 19,27.01.2024,Stuttgart,RB Leipzig,5,2,2.80,0.49,52,48,19,4,8,2,14,10,9,3,1,3,20,25,0,6,9,11,0,0,1,4,558,477,110,105,54,27,0,0
ROUND 19,27.01.2024,Werder Bremen,Freiburg,3,1,2.40,1.28,45,55,14,7,10,3,11,14,5,5,0,1,7,8,3,1,14,10,0,0,2,1,393,565,82,118,31,35,0,0
ROUND 19,27.01.2024,Wolfsburg,FC Koln,1,1,2.25,0.42,51,49,12,6,7,4,17,17,6,3,0,4,26,23,1,4,17,12,0,0,5,3,456,406,111,100,59,53,0,0
ROUND 19,26.01.2024,Eintracht Frankfurt,Mainz,1,0,1.81,0.69,54,46,13,7,9,7,14,4,2,1,0,4,25,32,0,3,10,12,0,0,2,1,593,439,141,118,41,40,0,0
ROUND 13,24.01.2024,Bayern Munich,Union Berlin,1,0,2.83,0.51,69,31,24,4,14,3,5,9,12,1,4,0,1,2,1,9,5,9,0,0,2,4,757,283,182,56,101,10,0,0
ROUND 18,21.01.2024,B. Monchengladbach,Augsburg,1,2,2.33,1.61,51,49,18,15,14,8,21,11,5,7,2,1,21,24,5,3,10,20,0,0,1,2,502,410,89,125,51,55,0,0
ROUND 18,21.01.2024,Bayern Munich,Werder Bremen,0,1,1.48,0.50,65,35,21,8,15,5,9,15,10,2,2,1,20,13,2,6,12,7,0,0,2,1,688,308,161,76,95,30,0,0
ROUND 18,20.01.2024,RB Leipzig,Bayer Leverkusen,2,3,1.12,2.81,44,56,11,18,5,13,12,10,1,9,1,1,18,9,2,4,11,11,0,0,2,3,420,641,88,125,33,69,0,0
ROUND 18,20.01.2024,Bochum,Stuttgart,1,0,0.81,2.04,43,57,6,17,5,13,18,21,1,7,4,1,21,24,4,0,16,16,0,0,5,3,239,448,96,107,32,54,0,0
ROUND 18,20.01.2024,Darmstadt,Eintracht Frankfurt,2,2,1.25,1.26,48,52,13,7,10,3,9,14,4,1,3,1,15,14,2,1,11,7,0,0,1,1,517,539,133,77,57,21,0,0
ROUND 18,20.01.2024,FC Koln,Dortmund,0,4,1.22,3.08,44,56,16,11,11,4,7,15,13,4,1,2,20,13,3,5,16,7,0,0,2,2,376,624,111,93,54,32,0,0
ROUND 18,20.01.2024,Freiburg,Hoffenheim,3,2,2.20,1.77,44,56,16,16,8,12,11,18,2,2,1,1,24,11,2,5,18,10,1,0,3,3,414,511,131,105,41,59,0,0
ROUND 18,20.01.2024,Heidenheim,Wolfsburg,1,1,0.88,1.19,52,48,12,12,9,9,10,11,4,2,2,1,30,19,2,2,11,10,0,0,0,1,492,452,116,109,70,39,0,0
ROUND 17,14.01.2024,B. Monchengladbach,Stuttgart,3,1,2.11,0.81,33,67,8,14,4,12,12,10,0,3,4,0,8,16,1,1,7,11,0,0,3,3,333,864,52,194,16,77,0,0
ROUND 17,14.01.2024,Bochum,Werder Bremen,1,1,0.75,0.96,51,49,13,15,9,11,17,18,3,4,4,3,27,20,3,3,14,14,0,0,6,5,348,362,120,92,50,40,0,0
ROUND 17,13.01.2024,Darmstadt,Dortmund,0,3,0.51,2.83,45,55,10,17,8,9,14,12,3,4,2,1,20,21,5,2,10,13,0,0,1,3,449,504,95,84,34,29,0,0
ROUND 17,13.01.2024,Augsburg,Bayer Leverkusen,0,1,0.13,2.61,34,66,2,25,2,19,8,16,0,12,4,3,10,23,5,0,11,4,0,0,3,1,241,787,71,144,24,110,0,0
ROUND 17,13.01.2024,FC Koln,Heidenheim,1,1,0.97,1.18,52,48,13,10,7,8,11,13,9,6,1,0,19,17,1,5,12,11,0,0,2,1,434,396,98,93,63,32,0,0
ROUND 17,13.01.2024,Freiburg,Union Berlin,0,0,1.61,0.36,57,43,14,8,10,4,10,11,4,3,4,1,17,13,4,4,7,9,0,0,0,2,612,468,145,84,54,31,0,0
ROUND 17,13.01.2024,Mainz,Wolfsburg,1,1,0.56,0.54,54,46,12,9,8,5,17,22,7,3,1,3,30,12,3,3,21,16,0,0,3,4,454,433,138,89,40,26,0,0
ROUND 17,13.01.2024,RB Leipzig,Eintracht Frankfurt,0,1,3.07,0.81,61,39,26,5,19,4,19,13,15,4,5,3,25,22,0,7,7,16,0,0,0,2,617,373,159,54,104,22,0,0
ROUND 17,12.01.2024,Bayern Munich,Hoffenheim,3,0,2.31,1.45,60,40,27,12,15,8,5,11,11,2,2,0,19,18,4,9,8,6,0,1,1,3,654,391,151,60,108,30,0,0
ROUND 16,20.12.2023,Bayer Leverkusen,Bochum,4,0,3.82,0.41,63,37,15,6,7,5,6,8,4,3,5,2,11,14,1,4,7,12,0,0,0,2,715,326,122,91,50,28,0,0
ROUND 16,20.12.2023,Eintracht Frankfurt,B. Monchengladbach,2,1,1.64,0.31,61,39,15,7,8,5,16,12,8,2,1,2,28,12,1,5,11,14,0,1,1,6,632,377,145,91,59,25,0,0
ROUND 16,20.12.2023,Heidenheim,Freiburg,3,2,1.83,1.79,54,46,14,10,11,6,11,20,7,4,2,0,18,13,2,1,20,12,0,0,3,4,440,387,86,115,44,39,0,0
ROUND 16,20.12.2023,Stuttgart,Augsburg,3,0,2.97,0.50,63,37,17,6,10,1,14,11,4,4,3,2,25,15,5,4,8,14,0,0,0,4,614,296,119,91,36,25,0,0
ROUND 16,20.12.2023,Wolfsburg,Bayern Munich,1,2,0.34,2.49,41,59,5,21,1,13,10,15,0,6,1,0,24,20,6,3,14,12,0,0,4,2,438,664,102,101,45,63,0,0
ROUND 16,20.12.2023,Union Berlin,FC Koln,2,0,1.48,0.92,41,59,12,15,4,8,9,14,4,5,2,1,22,23,7,6,10,7,0,0,0,0,354,547,91,145,45,54,0,0
ROUND 16,19.12.2023,Dortmund,Mainz,1,1,1.35,1.12,64,36,21,11,13,5,19,12,6,1,1,5,20,20,5,7,11,14,0,0,0,4,608,307,123,94,55,45,0,0
ROUND 16,19.12.2023,Hoffenheim,Darmstadt,3,3,3.93,0.82,45,55,13,14,9,11,15,9,8,3,0,1,21,23,0,1,9,15,0,0,2,4,379,497,94,104,42,41,0,0
ROUND 16,19.12.2023,Werder Bremen,RB Leipzig,1,1,0.85,2.69,47,53,11,18,8,9,10,18,1,4,3,2,20,19,8,2,15,9,0,0,4,2,417,531,92,111,49,45,0,0
ROUND 15,17.12.2023,Bayern Munich,Stuttgart,3,0,2.88,0.18,42,58,17,5,9,3,8,12,6,2,4,0,24,23,2,5,7,8,0,0,0,3,404,711,99,126,52,47,0,0
ROUND 15,17.12.2023,Bayer Leverkusen,Eintracht Frankfurt,3,0,2.84,0.22,58,42,14,4,8,2,15,10,5,5,5,1,23,13,2,3,4,13,0,0,1,1,736,466,124,91,54,27,0,0
ROUND 15,17.12.2023,Freiburg,FC Koln,2,0,4.59,1.04,50,50,23,7,16,6,14,13,5,2,0,3,26,15,1,5,13,10,0,1,1,4,506,485,151,84,63,21,0,0
ROUND 15,16.12.2023,RB Leipzig,Hoffenheim,3,1,3.57,1.02,56,44,23,10,12,6,8,12,9,2,2,0,13,14,3,8,11,9,0,0,3,2,505,393,117,75,61,39,0,0
ROUND 15,16.12.2023,Augsburg,Dortmund,1,1,2.42,3.11,43,57,20,24,16,18,3,14,4,7,1,1,16,16,5,3,13,4,0,0,2,1,318,583,96,124,55,56,0,0
ROUND 15,16.12.2023,Bochum,Union Berlin,3,0,3.49,1.04,49,51,21,10,14,8,14,16,6,4,2,2,17,19,2,4,12,13,0,0,2,2,383,406,100,88,46,39,0,0
ROUND 15,16.12.2023,Darmstadt,Wolfsburg,0,1,0.71,0.78,62,38,14,11,10,8,10,15,7,7,0,0,15,24,2,4,16,10,0,1,2,0,575,307,133,75,51,32,0,0
ROUND 15,16.12.2023,Mainz,Heidenheim,0,1,1.43,0.41,63,37,16,5,12,3,21,9,8,1,1,1,38,21,1,4,9,20,0,0,3,3,474,210,155,108,66,22,0,0
ROUND 15,15.12.2023,B. Monchengladbach,Werder Bremen,2,2,1.26,2.05,50,50,15,10,11,5,10,13,4,3,4,1,13,16,3,2,10,12,0,0,4,2,545,527,93,115,44,39,0,0
ROUND 14,10.12.2023,FC Koln,Mainz,0,0,0.51,2.14,55,45,7,13,4,8,10,10,1,7,0,1,27,22,5,3,10,10,0,0,2,4,495,432,100,99,20,36,0,0
ROUND 14,10.12.2023,Stuttgart,Bayer Leverkusen,1,1,3.10,3.22,55,45,22,20,10,14,10,8,8,8,0,3,16,20,5,11,8,7,0,0,1,1,583,517,122,126,36,59,0,0
ROUND 14,09.12.2023,Dortmund,RB Leipzig,2,3,2.05,2.70,56,44,18,24,12,16,14,7,6,6,1,4,16,15,5,4,6,11,1,0,1,3,547,465,129,97,46,67,0,0
ROUND 14,09.12.2023,Eintracht Frankfurt,Bayern Munich,5,1,1.61,1.97,38,62,14,17,8,11,8,9,1,9,0,2,14,9,5,1,8,7,0,0,1,2,377,678,59,151,31,65,0,0
ROUND 14,09.12.2023,Heidenheim,Darmstadt,3,2,1.88,1.25,48,52,16,20,9,13,13,18,8,3,1,1,25,24,5,4,17,13,0,0,2,2,325,418,83,101,60,38,0,0
ROUND 14,09.12.2023,Union Berlin,B. Monchengladbach,3,1,2.83,1.17,44,56,16,13,10,9,8,11,6,7,3,1,14,22,3,3,9,8,0,0,1,3,349,589,90,123,52,51,0,0
ROUND 14,09.12.2023,Werder Bremen,Augsburg,2,0,1.17,0.65,50,50,12,11,7,10,11,16,5,2,2,2,11,27,1,3,13,9,0,0,1,2,428,416,105,117,33,53,0,0
ROUND 14,09.12.2023,Wolfsburg,Freiburg,0,1,1.62,1.26,55,45,10,4,7,3,17,14,5,3,3,2,23,19,0,3,11,16,0,0,1,4,566,388,105,81,34,31,0,0
ROUND 14,08.12.2023,Hoffenheim,Bochum,3,1,1.99,1.57,43,57,18,22,11,17,13,16,4,5,0,1,17,23,4,4,18,11,0,0,3,2,359,503,95,107,31,46,0,0
ROUND 13,03.12.2023,Augsburg,Eintracht Frankfurt,2,1,1.75,1.09,35,65,9,12,5,6,12,15,2,4,7,2,26,21,5,2,9,10,0,0,1,1,323,621,54,75,28,24,0,0
ROUND 13,03.12.2023,Bayer Leverkusen,Dortmund,1,1,2.33,0.94,61,39,22,6,16,4,12,17,16,1,4,0,22,12,1,5,12,12,0,0,3,2,667,319,155,57,126,17,0,0
ROUND 13,03.12.2023,Mainz,Freiburg,0,1,2.69,1.41,57,43,19,13,13,8,10,15,14,3,1,0,26,22,4,6,16,11,0,0,1,1,519,331,143,93,59,24,0,0
ROUND 13,02.12.2023,Stuttgart,Werder Bremen,2,0,3.91,0.68,59,41,17,11,11,8,11,11,6,7,4,1,17,5,3,4,7,9,0,0,1,0,601,412,141,80,45,34,0,0
ROUND 13,02.12.2023,B. Monchengladbach,Hoffenheim,2,1,1.82,1.26,49,51,9,17,6,12,10,13,6,3,1,2,19,13,4,1,12,14,0,0,2,2,472,495,75,122,30,52,0,0
ROUND 13,02.12.2023,Bochum,Wolfsburg,3,1,2.13,1.26,47,53,19,15,10,9,12,14,6,6,2,0,31,32,5,6,14,13,0,0,6,2,358,441,107,114,39,45,0,0
ROUND 13,02.12.2023,RB Leipzig,Heidenheim,2,1,4.14,1.29,67,33,23,7,15,6,15,16,5,3,3,0,18,22,0,6,13,16,0,0,2,2,692,264,138,90,71,33,0,0
ROUND 13,01.12.2023,Darmstadt,FC Koln,0,1,0.79,1.77,45,55,11,11,10,5,17,16,1,6,3,3,21,27,5,1,12,12,0,0,1,3,377,447,99,90,38,41,0,0
ROUND 12,26.11.2023,Hoffenheim,Mainz,1,1,1.49,1.96,56,44,15,15,9,9,15,8,4,5,0,1,20,18,5,5,9,14,0,0,4,4,505,428,154,108,45,54,0,0
ROUND 12,26.11.2023,Heidenheim,Bochum,0,0,1.01,0.39,52,48,9,9,6,7,11,18,6,5,4,3,29,22,2,3,14,7,0,0,4,3,409,432,97,112,49,45,0,0
ROUND 12,25.11.2023,Eintracht Frankfurt,Stuttgart,1,2,0.79,2.03,56,44,14,11,13,6,10,13,4,2,0,4,30,20,3,0,14,8,0,0,0,1,597,433,128,93,50,42,0,0
ROUND 12,25.11.2023,Dortmund,B. Monchengladbach,4,2,3.09,1.05,54,46,20,10,7,7,12,14,5,4,1,1,14,26,1,9,11,11,0,0,1,2,549,512,117,100,35,48,0,0
ROUND 12,25.11.2023,Freiburg,Darmstadt,1,1,1.86,0.48,63,37,16,7,13,6,17,17,11,2,2,1,19,15,0,2,15,15,0,0,2,0,594,303,131,74,62,24,0,0
ROUND 12,25.11.2023,Union Berlin,Augsburg,1,1,2.32,1.48,56,44,16,11,10,9,17,13,3,4,3,2,22,19,1,5,10,15,0,0,2,2,546,327,114,103,41,38,0,0
ROUND 12,25.11.2023,Werder Bremen,Bayer Leverkusen,0,3,0.31,1.11,45,55,2,13,1,9,6,19,1,6,5,2,14,17,2,1,15,4,0,0,3,1,480,690,92,113,39,52,0,0
ROUND 12,25.11.2023,Wolfsburg,RB Leipzig,2,1,0.86,3.72,42,58,10,26,6,16,15,17,1,12,0,4,13,19,9,2,18,11,0,0,4,2,329,591,90,117,30,85,0,0
ROUND 12,24.11.2023,FC Koln,Bayern Munich,0,1,0.47,3.13,36,64,6,19,4,14,4,6,3,12,1,1,22,22,4,2,6,4,0,0,0,1,344,753,78,136,39,55,0,0
ROUND 11,12.11.2023,RB Leipzig,Freiburg,3,1,1.79,0.58,60,40,15,9,9,6,15,10,7,3,0,4,10,25,2,3,10,12,0,0,2,0,630,347,117,104,37,39,0,0
ROUND 11,12.11.2023,Werder Bremen,Eintracht Frankfurt,2,2,1.85,2.47,50,50,14,14,9,11,11,4,3,7,1,2,16,14,1,3,3,10,0,0,1,3,514,539,101,121,33,62,0,0
ROUND 11,12.11.2023,Bayer Leverkusen,Union Berlin,4,0,2.51,0.07,66,34,19,2,9,0,4,11,10,1,3,0,13,10,2,6,8,5,0,0,0,1,813,377,170,72,46,27,0,0
ROUND 11,11.11.2023,Bochum,FC Koln,1,1,3.64,0.87,52,48,25,10,16,4,19,17,3,3,1,1,32,30,5,8,14,19,0,0,4,1,369,360,141,82,68,36,0,0
ROUND 11,11.11.2023,Augsburg,Hoffenheim,1,1,1.41,1.29,40,60,11,12,5,6,14,13,3,5,3,2,20,19,5,5,9,11,0,0,1,2,267,564,104,94,55,43,0,0
ROUND 11,11.11.2023,Bayern Munich,Heidenheim,4,2,2.28,1.35,68,32,18,7,10,5,7,8,7,2,0,1,19,17,0,4,8,8,0,0,1,0,787,295,165,100,56,24,0,0
ROUND 11,11.11.2023,Darmstadt,Mainz,0,0,0.63,0.74,57,43,9,9,6,9,16,21,0,5,0,1,21,29,0,3,20,15,0,0,3,3,516,374,93,101,20,59,0,0
ROUND 11,11.11.2023,Stuttgart,Dortmund,2,1,4.39,1.12,57,43,22,5,12,4,14,15,6,1,2,1,15,16,0,8,13,16,0,0,2,3,613,442,138,89,66,16,0,0
ROUND 11,10.11.2023,B. Monchengladbach,Wolfsburg,4,0,1.98,0.61,48,52,16,12,8,8,13,8,8,5,2,1,21,14,4,4,7,12,0,0,1,3,496,553,57,139,28,48,0,0
ROUND 10,05.11.2023,Heidenheim,Stuttgart,2,0,2.01,2.92,36,64,20,15,17,13,14,8,9,6,2,2,25,19,2,1,7,13,0,0,2,2,252,619,83,119,41,50,0,0
ROUND 10,05.11.2023,Wolfsburg,Werder Bremen,2,2,2.03,1.71,53,47,15,13,10,9,13,6,5,2,1,6,14,13,2,3,14,17,1,0,4,1,554,419,113,77,54,28,0,0
ROUND 10,04.11.2023,Dortmund,Bayern Munich,0,4,1.08,3.73,50,50,15,14,14,6,12,14,3,2,0,6,13,14,4,1,14,6,0,0,3,2,495,521,127,92,52,27,0,0
ROUND 10,04.11.2023,FC Koln,Augsburg,1,1,2.62,2.08,56,44,28,18,16,15,10,10,10,2,0,1,25,18,2,11,10,10,0,0,1,4,466,334,121,91,72,37,0,0
ROUND 10,04.11.2023,Freiburg,B. Monchengladbach,3,3,4.38,1.69,57,43,15,10,7,5,12,6,8,2,1,3,24,19,2,5,7,10,0,0,2,2,603,425,173,65,65,28,0,0
ROUND 10,04.11.2023,Hoffenheim,Bayer Leverkusen,2,3,1.82,1.46,48,52,12,10,5,6,12,6,4,3,0,2,8,8,1,5,6,10,0,0,3,2,507,564,88,117,47,50,0,0
ROUND 10,04.11.2023,Mainz,RB Leipzig,2,0,1.53,0.44,36,64,10,10,7,8,9,18,2,7,5,0,21,31,2,1,13,9,0,0,3,1,283,638,89,131,23,55,0,0
ROUND 10,04.11.2023,Union Berlin,Eintracht Frankfurt,0,3,0.51,1.49,48,52,10,4,7,1,11,13,9,1,3,3,24,14,0,3,13,8,0,0,0,1,489,532,126,82,85,36,0,0
ROUND 10,03.11.2023,Darmstadt,Bochum,1,2,0.94,0.86,57,43,15,9,11,5,18,9,11,2,2,2,29,32,2,3,7,16,1,0,2,5,414,286,97,107,53,28,0,0
ROUND 9,29.10.2023,Bayer Leverkusen,Freiburg,2,1,2.49,0.94,67,33,19,10,15,6,10,10,11,4,1,0,14,15,3,2,9,10,0,0,0,2,711,286,143,77,78,36,0,0
ROUND 9,29.10.2023,Eintracht Frankfurt,Dortmund,3,3,2.92,1.87,42,58,11,14,4,10,12,13,0,4,4,4,21,18,1,4,11,10,0,0,3,2,395,579,79,136,41,57,0,0
ROUND 9,28.10.2023,RB Leipzig,FC Koln,6,0,3.75,0.77,60,40,24,6,11,5,14,9,11,1,1,2,31,12,1,7,8,13,0,1,2,4,562,338,110,63,52,17,0,0
ROUND 9,28.10.2023,Augsburg,Wolfsburg,3,2,1.48,1.19,45,55,9,13,4,7,0,0,5,5,6,2,0,0,4,2,19,14,1,0,6,4,339,504,83,96,40,46,0,0
ROUND 9,28.10.2023,B. Monchengladbach,Heidenheim,2,1,0.78,0.47,54,46,11,8,5,5,0,0,6,4,1,0,0,0,2,4,5,18,0,0,0,3,585,496,104,108,37,53,0,0
ROUND 9,28.10.2023,Bayern Munich,Darmstadt,8,0,5.81,0.69,55,45,28,10,12,6,0,0,7,1,2,1,0,0,4,8,15,13,1,2,1,2,499,431,122,68,61,33,0,0
ROUND 9,28.10.2023,Stuttgart,Hoffenheim,2,3,3.61,1.75,68,32,23,7,13,2,12,14,6,0,2,1,21,14,2,8,13,11,0,0,2,1,718,261,171,93,69,21,0,0
ROUND 9,28.10.2023,Werder Bremen,Union Berlin,2,0,0.64,0.42,57,43,9,7,6,5,19,17,3,3,3,5,20,26,2,1,12,14,0,1,1,4,563,431,106,119,36,51,0,0
ROUND 9,27.10.2023,Bochum,Mainz,2,2,1.65,0.38,52,48,10,10,6,6,21,14,5,4,2,2,27,27,2,2,14,21,0,0,3,3,354,342,128,103,39,16,0,0
ROUND 8,22.10.2023,Heidenheim,Augsburg,2,5,3.13,3.29,55,45,16,9,11,3,13,11,6,5,1,1,24,28,1,3,11,11,0,0,3,2,556,365,138,90,50,33,0,0
ROUND 8,22.10.2023,FC Koln,B. Monchengladbach,3,1,1.74,0.11,60,40,21,5,13,3,11,14,8,3,1,0,23,24,1,5,13,10,0,1,0,2,523,357,128,80,65,21,0,0
ROUND 8,21.10.2023,Mainz,Bayern Munich,1,3,1.09,1.36,41,59,14,12,11,7,12,13,2,7,1,1,11,18,2,2,12,10,0,0,3,2,353,598,95,117,46,60,0,0
ROUND 8,21.10.2023,Darmstadt,RB Leipzig,1,3,1.87,2.53,55,45,16,10,13,3,14,14,6,0,2,4,19,18,4,2,16,12,0,0,6,3,420,309,108,67,60,22,0,0
ROUND 8,21.10.2023,Freiburg,Bochum,2,1,2.49,1.66,54,46,15,13,10,8,16,15,5,2,4,2,13,20,4,3,11,16,0,0,3,4,509,377,118,84,48,43,0,0
ROUND 8,21.10.2023,Hoffenheim,Eintracht Frankfurt,1,3,1.25,2.71,54,46,14,13,9,8,5,12,6,3,5,1,16,13,2,4,7,7,0,0,3,0,567,469,91,46,46,23,0,0
ROUND 8,21.10.2023,Union Berlin,Stuttgart,0,3,1.19,1.63,43,57,10,10,8,5,12,17,4,2,4,0,23,23,2,2,12,12,0,0,2,1,415,579,118,109,54,38,0,0
ROUND 8,21.10.2023,Wolfsburg,Bayer Leverkusen,1,2,1.59,1.49,46,54,18,13,11,7,15,16,4,3,1,2,14,17,4,6,15,14,0,0,3,5,437,624,94,120,25,55,0,0
ROUND 8,20.10.2023,Dortmund,Werder Bremen,1,0,2.71,0.44,58,42,22,6,17,5,10,5,10,4,0,0,17,17,1,4,5,10,0,0,1,5,577,413,137,72,70,23,0,0
ROUND 7,08.10.2023,Eintracht Frankfurt,Heidenheim,2,0,1.90,0.86,51,49,12,7,6,5,12,17,3,6,3,3,15,28,2,4,14,10,0,0,2,3,494,485,116,128,51,36,0,0
ROUND 7,08.10.2023,Bayern Munich,Freiburg,3,0,2.50,0.08,68,32,21,2,16,2,9,10,7,1,3,3,8,14,0,2,7,8,0,0,1,0,776,314,155,69,72,14,0,0
ROUND 7,08.10.2023,Bayer Leverkusen,FC Koln,3,0,4.02,1.50,61,39,21,7,11,4,5,7,11,4,2,0,9,7,3,7,9,7,0,0,3,0,747,408,135,45,70,25,0,0
ROUND 7,07.10.2023,Werder Bremen,Hoffenheim,2,3,0.94,1.79,49,51,13,11,10,7,7,14,4,4,2,4,15,10,1,1,15,6,0,0,5,4,459,498,113,146,43,34,0,0
ROUND 7,07.10.2023,Augsburg,Darmstadt,1,2,0,0,49,51,17,17,14,12,13,18,4,4,6,1,23,12,3,2,13,12,0,0,4,2,371,419,105,72,50,25,0,0
ROUND 7,07.10.2023,Dortmund,Union Berlin,4,2,0,0,66,34,12,12,5,7,20,7,4,6,1,5,17,19,3,3,7,15,0,0,1,1,602,268,137,62,39,25,0,0
ROUND 7,07.10.2023,RB Leipzig,Bochum,0,0,0,0,66,34,18,9,13,7,14,14,9,1,1,3,21,18,2,5,10,13,0,0,2,4,663,195,152,60,75,16,0,0
ROUND 7,07.10.2023,Stuttgart,Wolfsburg,3,1,0,0,57,43,13,12,6,7,13,19,5,6,5,0,18,15,4,4,13,14,0,0,1,3,568,380,111,94,50,27,0,0
ROUND 7,06.10.2023,B. Monchengladbach,Mainz,2,2,2.24,1.06,58,42,20,13,11,6,10,10,10,3,1,1,25,20,5,7,9,9,0,0,3,1,566,384,153,86,45,21,0,0
ROUND 6,01.10.2023,Freiburg,Augsburg,2,0,1.09,1.58,54,46,7,13,4,9,19,13,2,3,0,2,24,25,4,1,13,17,0,0,2,2,462,401,100,121,25,45,0,0
ROUND 6,01.10.2023,Darmstadt,Werder Bremen,4,2,2.31,1.76,44,56,14,9,9,3,23,22,2,4,2,5,17,23,4,1,19,19,0,0,3,2,357,472,80,119,30,39,0,0
ROUND 6,30.09.2023,RB Leipzig,Bayern Munich,2,2,0.94,1.85,37,63,7,11,5,6,13,7,5,1,1,1,18,22,3,0,10,11,0,0,2,5,345,685,90,151,26,64,0,0
ROUND 6,30.09.2023,Bochum,B. Monchengladbach,1,3,1.95,2.62,57,43,23,25,18,16,14,14,5,10,2,3,22,15,6,4,12,12,0,0,2,3,415,286,142,78,74,44,0,0
ROUND 6,30.09.2023,FC Koln,Stuttgart,0,2,1.38,2.61,40,60,14,18,9,14,8,16,8,4,2,1,23,23,2,5,16,8,0,0,2,1,365,583,89,121,57,50,0,0
ROUND 6,30.09.2023,Heidenheim,Union Berlin,1,0,0.51,2.43,48,52,9,19,5,11,16,12,5,7,1,1,25,12,8,3,11,14,0,0,1,2,405,416,91,113,34,56,0,0
ROUND 6,30.09.2023,Mainz,Bayer Leverkusen,0,3,0.69,0.88,44,56,10,6,7,3,12,14,3,1,3,1,22,15,1,3,13,11,0,0,4,1,478,605,112,132,66,25,0,0
ROUND 6,30.09.2023,Wolfsburg,Eintracht Frankfurt,2,0,3.84,1.29,55,45,19,7,12,4,20,15,7,4,4,3,22,18,3,5,11,18,0,1,1,6,450,365,120,90,46,28,0,0
ROUND 6,29.09.2023,Hoffenheim,Dortmund,1,3,2.10,1.85,50,50,15,6,10,1,17,14,4,3,0,2,25,16,2,4,14,16,0,1,3,4,416,388,124,89,56,35,0,0
ROUND 5,24.09.2023,Eintracht Frankfurt,Freiburg,0,0,0.95,0.60,55,45,13,9,8,7,8,10,7,3,0,4,23,22,2,5,12,5,0,0,4,2,529,393,107,109,72,46,0,0
ROUND 5,24.09.2023,Bayer Leverkusen,Heidenheim,4,1,3.48,0.10,67,33,20,1,10,0,7,8,7,2,2,0,16,20,0,6,9,10,0,0,1,1,803,325,162,56,77,17,0,0
ROUND 5,23.09.2023,Werder Bremen,FC Koln,2,1,1.87,1.62,46,54,17,13,11,8,16,17,9,8,0,2,19,24,4,4,18,16,0,0,2,1,403,435,116,117,34,48,0,0
ROUND 5,23.09.2023,Augsburg,Mainz,2,1,1.19,0.72,45,55,6,13,3,10,18,18,3,4,1,2,13,24,2,1,16,14,1,0,2,3,330,461,108,121,36,51,0,0
